21:29:48.086628->{"CURRENT_PRECENT": 0.2686297942542244, "CURRENT_RSS": 22142976}
21:29:48.592248->{"CURRENT_PRECENT": 0.29968669795546193, "CURRENT_RSS": 24702976}
21:29:49.097941->{"CURRENT_PRECENT": 0.30887954145102825, "CURRENT_RSS": 25460736}
21:29:49.598831->{"CURRENT_PRECENT": 0.30887954145102825, "CURRENT_RSS": 25460736}
21:29:50.099458->{"CURRENT_PRECENT": 0.3271161553043949, "CURRENT_RSS": 26963968}
21:29:50.600030->{"CURRENT_PRECENT": 0.3309423658403874, "CURRENT_RSS": 27279360}
21:29:51.101009->{"CURRENT_PRECENT": 0.3309423658403874, "CURRENT_RSS": 27279360}
21:29:51.601756->{"CURRENT_PRECENT": 0.3313398942077632, "CURRENT_RSS": 27312128}
21:29:52.102309->{"CURRENT_PRECENT": 0.3313895852536852, "CURRENT_RSS": 27316224}
21:29:52.602751->{"CURRENT_PRECENT": 0.33153865839145114, "CURRENT_RSS": 27328512}
21:29:53.103167->{"CURRENT_PRECENT": 0.3316877315292171, "CURRENT_RSS": 27340800}
21:29:53.604462->{"CURRENT_PRECENT": 0.3321846419884369, "CURRENT_RSS": 27381760}
21:29:54.105079->{"CURRENT_PRECENT": 0.3321846419884369, "CURRENT_RSS": 27381760}
21:29:54.606028->{"CURRENT_PRECENT": 0.3321846419884369, "CURRENT_RSS": 27381760}
21:29:55.107145->{"CURRENT_PRECENT": 0.3321846419884369, "CURRENT_RSS": 27381760}
21:29:55.608302->{"CURRENT_PRECENT": 0.3354642510192876, "CURRENT_RSS": 27652096}
21:29:56.109273->{"CURRENT_PRECENT": 0.33551394206520957, "CURRENT_RSS": 27656192}
21:29:56.610879->{"CURRENT_PRECENT": 0.33551394206520957, "CURRENT_RSS": 27656192}
21:29:57.112309->{"CURRENT_PRECENT": 0.3356630152029755, "CURRENT_RSS": 27668480}
21:29:57.613481->{"CURRENT_PRECENT": 0.33586177938666345, "CURRENT_RSS": 27684864}
21:29:58.114729->{"CURRENT_PRECENT": 0.33586177938666345, "CURRENT_RSS": 27684864}
21:29:58.615608->{"CURRENT_PRECENT": 0.33586177938666345, "CURRENT_RSS": 27684864}
21:29:59.117086->{"CURRENT_PRECENT": 0.33929046155528003, "CURRENT_RSS": 27967488}
21:29:59.618343->{"CURRENT_PRECENT": 0.34704226471910893, "CURRENT_RSS": 28606464}
21:30:00.119771->{"CURRENT_PRECENT": 0.34704226471910893, "CURRENT_RSS": 28606464}
21:30:00.620413->{"CURRENT_PRECENT": 0.34704226471910893, "CURRENT_RSS": 28606464}
21:30:01.121937->{"CURRENT_PRECENT": 0.34704226471910893, "CURRENT_RSS": 28606464}
21:30:01.623068->{"CURRENT_PRECENT": 0.34704226471910893, "CURRENT_RSS": 28606464}
21:30:02.124193->{"CURRENT_PRECENT": 0.3470919557650309, "CURRENT_RSS": 28610560}
21:30:02.625101->{"CURRENT_PRECENT": 0.3470919557650309, "CURRENT_RSS": 28610560}
21:30:03.125941->{"CURRENT_PRECENT": 0.3470919557650309, "CURRENT_RSS": 28610560}
21:30:03.627384->{"CURRENT_PRECENT": 0.3479367035457046, "CURRENT_RSS": 28680192}
21:30:04.128556->{"CURRENT_PRECENT": 0.3479367035457046, "CURRENT_RSS": 28680192}
21:30:04.629365->{"CURRENT_PRECENT": 0.34798639459162656, "CURRENT_RSS": 28684288}
21:30:05.129907->{"CURRENT_PRECENT": 0.34798639459162656, "CURRENT_RSS": 28684288}
21:30:05.630441->{"CURRENT_PRECENT": 0.34798639459162656, "CURRENT_RSS": 28684288}
21:30:06.131064->{"CURRENT_PRECENT": 0.34798639459162656, "CURRENT_RSS": 28684288}
21:30:06.632457->{"CURRENT_PRECENT": 0.34798639459162656, "CURRENT_RSS": 28684288}
21:30:07.133322->{"CURRENT_PRECENT": 0.34798639459162656, "CURRENT_RSS": 28684288}
21:30:07.634491->{"CURRENT_PRECENT": 0.34798639459162656, "CURRENT_RSS": 28684288}
21:30:08.135281->{"CURRENT_PRECENT": 0.34798639459162656, "CURRENT_RSS": 28684288}
21:30:08.636010->{"CURRENT_PRECENT": 0.34798639459162656, "CURRENT_RSS": 28684288}
21:30:09.136778->{"CURRENT_PRECENT": 0.34798639459162656, "CURRENT_RSS": 28684288}
21:30:09.637949->{"CURRENT_PRECENT": 0.34798639459162656, "CURRENT_RSS": 28684288}
21:30:10.139100->{"CURRENT_PRECENT": 0.34798639459162656, "CURRENT_RSS": 28684288}
21:30:10.639855->{"CURRENT_PRECENT": 0.34798639459162656, "CURRENT_RSS": 28684288}
21:30:11.140599->{"CURRENT_PRECENT": 0.34798639459162656, "CURRENT_RSS": 28684288}
21:30:11.641297->{"CURRENT_PRECENT": 0.34798639459162656, "CURRENT_RSS": 28684288}
21:30:12.142049->{"CURRENT_PRECENT": 0.34798639459162656, "CURRENT_RSS": 28684288}
21:30:12.642469->{"CURRENT_PRECENT": 0.34798639459162656, "CURRENT_RSS": 28684288}
21:30:13.143267->{"CURRENT_PRECENT": 0.34798639459162656, "CURRENT_RSS": 28684288}
21:30:13.644826->{"CURRENT_PRECENT": 0.34798639459162656, "CURRENT_RSS": 28684288}
21:30:14.146033->{"CURRENT_PRECENT": 0.34798639459162656, "CURRENT_RSS": 28684288}
21:30:14.646963->{"CURRENT_PRECENT": 0.34798639459162656, "CURRENT_RSS": 28684288}
21:30:15.147880->{"CURRENT_PRECENT": 0.34798639459162656, "CURRENT_RSS": 28684288}
21:30:15.648351->{"CURRENT_PRECENT": 0.34798639459162656, "CURRENT_RSS": 28684288}
21:30:16.148921->{"CURRENT_PRECENT": 0.34798639459162656, "CURRENT_RSS": 28684288}
21:30:16.650034->{"CURRENT_PRECENT": 0.34798639459162656, "CURRENT_RSS": 28684288}
21:30:17.151330->{"CURRENT_PRECENT": 0.34798639459162656, "CURRENT_RSS": 28684288}
21:30:17.652310->{"CURRENT_PRECENT": 0.34798639459162656, "CURRENT_RSS": 28684288}
21:30:18.153317->{"CURRENT_PRECENT": 0.34798639459162656, "CURRENT_RSS": 28684288}
