17:28:24.310469->{"CURRENT_RSS": 23031808, "CURRENT_PRECENT": 0.27941275121929404}
17:28:24.813407->{"CURRENT_RSS": 23777280, "CURRENT_PRECENT": 0.2884565215770944}
17:28:25.314126->{"CURRENT_RSS": 23777280, "CURRENT_PRECENT": 0.2884565215770944}
17:28:25.814715->{"CURRENT_RSS": 24322048, "CURRENT_PRECENT": 0.29506543068471774}
17:28:26.315391->{"CURRENT_RSS": 24678400, "CURRENT_PRECENT": 0.29938855167993006}
17:28:26.823480->{"CURRENT_RSS": 24678400, "CURRENT_PRECENT": 0.29938855167993006}
17:28:27.325252->{"CURRENT_RSS": 25817088, "CURRENT_PRECENT": 0.3132026624462405}
17:28:27.826166->{"CURRENT_RSS": 25915392, "CURRENT_PRECENT": 0.31439524754836806}
17:28:28.326683->{"CURRENT_RSS": 25915392, "CURRENT_PRECENT": 0.31439524754836806}
17:28:28.827711->{"CURRENT_RSS": 25927680, "CURRENT_PRECENT": 0.31454432068613397}
17:28:29.328373->{"CURRENT_RSS": 25944064, "CURRENT_PRECENT": 0.3147430848698219}
17:28:29.829372->{"CURRENT_RSS": 25944064, "CURRENT_PRECENT": 0.3147430848698219}
17:28:30.330676->{"CURRENT_RSS": 25944064, "CURRENT_PRECENT": 0.3147430848698219}
17:28:30.831842->{"CURRENT_RSS": 25972736, "CURRENT_PRECENT": 0.31509092219127577}
17:28:31.333035->{"CURRENT_RSS": 25985024, "CURRENT_PRECENT": 0.3152399953290417}
17:28:31.834600->{"CURRENT_RSS": 25985024, "CURRENT_PRECENT": 0.3152399953290417}
17:28:32.335405->{"CURRENT_RSS": 25985024, "CURRENT_PRECENT": 0.3152399953290417}
17:28:32.836906->{"CURRENT_RSS": 25985024, "CURRENT_PRECENT": 0.3152399953290417}
17:28:33.338375->{"CURRENT_RSS": 25985024, "CURRENT_PRECENT": 0.3152399953290417}
17:28:33.839255->{"CURRENT_RSS": 25985024, "CURRENT_PRECENT": 0.3152399953290417}
17:28:34.340159->{"CURRENT_RSS": 25985024, "CURRENT_PRECENT": 0.3152399953290417}
17:28:34.841301->{"CURRENT_RSS": 28053504, "CURRENT_PRECENT": 0.3403339735196416}
17:28:35.342669->{"CURRENT_RSS": 28258304, "CURRENT_PRECENT": 0.3428185258157406}
17:28:35.843069->{"CURRENT_RSS": 28258304, "CURRENT_PRECENT": 0.3428185258157406}
