Test1: Tree creation (10.1.1.100,224.12.12.12)
Expected: all routers should consider eth0 as their UpstreamInterface
About to start TCP server...
tests                                              DEBUG    2020-06-16 21:40:13,526                                              R1 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:13,575                                              R4 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:13,581                                              R3 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:13,662                                              R2 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:13,968                                              R5 ifconfig eth1 up
tests                                              DEBUG    2020-06-16 21:40:13,977                                              R5 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:13,977                                              R5 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:13,977                                              R5 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:13,977                                              R5 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:13,977                                              R5 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:13,977                                              R5 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:13,977                                              R5 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:13,977                                              R5 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:13,977                                              R5 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:13,994                                              R7 vtysh -c "configure terminal" -c "interface eth2" -c "ip ospf cost 10"
tests                                              DEBUG    2020-06-16 21:40:14,009                                              R1 python3 Run.py -t R1 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,009                                              R1 python3 Run.py -t R1 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,009                                              R1 python3 Run.py -t R1 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,009                                              R1 python3 Run.py -t R1 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,009                                              R1 python3 Run.py -t R1 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,009                                              R1 python3 Run.py -t R1 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,009                                              R1 python3 Run.py -t R1 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,009                                              R1 python3 Run.py -t R1 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,009                                              R1 python3 Run.py -t R1 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,026                                              R6 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:14,043                                              R7 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:14,043                                              R7 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:14,043                                              R7 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:14,043                                              R7 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:14,043                                              R7 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:14,043                                              R7 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:14,043                                              R7 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:14,043                                              R7 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:14,043                                              R7 python3 Run.py -start
tests                                              DEBUG    2020-06-16 21:40:14,162                                              R3 python3 Run.py -t R3 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,162                                              R3 python3 Run.py -t R3 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,162                                              R3 python3 Run.py -t R3 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,162                                              R3 python3 Run.py -t R3 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,162                                              R3 python3 Run.py -t R3 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,162                                              R3 python3 Run.py -t R3 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,162                                              R3 python3 Run.py -t R3 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,162                                              R3 python3 Run.py -t R3 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,162                                              R3 python3 Run.py -t R3 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,210                                              R4 python3 Run.py -t R4 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,210                                              R4 python3 Run.py -t R4 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,210                                              R4 python3 Run.py -t R4 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,210                                              R4 python3 Run.py -t R4 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,210                                              R4 python3 Run.py -t R4 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,210                                              R4 python3 Run.py -t R4 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,274                                              R2 python3 Run.py -t R2 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,274                                              R2 python3 Run.py -t R2 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,274                                              R2 python3 Run.py -t R2 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,274                                              R2 python3 Run.py -t R2 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,274                                              R2 python3 Run.py -t R2 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,274                                              R2 python3 Run.py -t R2 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,737                                              R1 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:14,737                                              R1 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:14,737                                              R1 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:14,737                                              R1 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:14,737                                              R1 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:14,737                                              R1 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:14,737                                              R1 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:14,737                                              R1 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:14,737                                              R1 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:14,787                                              R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,787                                              R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,787                                              R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,787                                              R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,787                                              R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,787                                              R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,787                                              R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,787                                              R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,787                                              R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,841                                              R7 python3 Run.py -t R7 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,841                                              R7 python3 Run.py -t R7 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,841                                              R7 python3 Run.py -t R7 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,841                                              R7 python3 Run.py -t R7 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,841                                              R7 python3 Run.py -t R7 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,841                                              R7 python3 Run.py -t R7 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,841                                              R7 python3 Run.py -t R7 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,841                                              R7 python3 Run.py -t R7 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,841                                              R7 python3 Run.py -t R7 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,878                                              R6 python3 Run.py -t R6 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,878                                              R6 python3 Run.py -t R6 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,878                                              R6 python3 Run.py -t R6 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,878                                              R6 python3 Run.py -t R6 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,878                                              R6 python3 Run.py -t R6 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,878                                              R6 python3 Run.py -t R6 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,878                                              R6 python3 Run.py -t R6 172.16.1.100
tests                                              DEBUG    2020-06-16 21:40:14,934                                              R3 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:14,934                                              R3 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:14,934                                              R3 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:14,934                                              R3 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:14,934                                              R3 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:14,934                                              R3 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:14,934                                              R3 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:14,934                                              R3 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:14,934                                              R3 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:15,144                                              R1 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,144                                              R1 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,144                                              R1 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,144                                              R1 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,144                                              R1 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,144                                              R1 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,144                                              R1 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,144                                              R1 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,144                                              R1 python3 Run.py -aiigmp eth0
tests                                              DEBUG    2020-06-16 21:40:15,180                                              R5 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:15,180                                              R5 python3 Run.py -ai eth0
tests                                              DEBUG    2020-06-16 21:40:15,180                                              R5 python3 Run.py -ai eth0
