Test1: Formation of (S,G) Broadcast Tree
Having Client0 and Client1 interested
About to start TCP server...
tests                                              DEBUG    2020-06-17 17:27:50,891                                              CLIENT0 python3 client.py -i eth0
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:27:51,037 (10.1.1.100,224.12.12.12)           0  eth0  R6 olistIsNowNotNull, P -> AP
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:27:51,037 (10.1.1.100,224.12.12.12)           0  eth0  R6 Upstream state transitions to AckPending
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:27:51,057 (10.1.1.100,224.12.12.12)           0  eth0  R6 recvGraftAckFromRPFnbr, AP -> F
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:27:51,058 (10.1.1.100,224.12.12.12)           0  eth0  R6 Upstream state transitions to Forwarding
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:27:51,462 (10.1.1.100,224.12.12.12)           0  eth0  R4 olistIsNowNull, F -> P
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:27:51,462 (10.1.1.100,224.12.12.12)           0  eth0  R4 Upstream state transitions to Pruned
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:27:51,472 (10.1.1.100,224.12.12.12)           0  eth0  R5 olistIsNowNull, F -> P
pim.KernelEntry.UpstreamInterface.JoinPrune        DEBUG    2020-06-17 17:27:51,473 (10.1.1.100,224.12.12.12)           0  eth0  R5 Upstream state transitions to Pruned
tests                                              DEBUG    2020-06-17 17:27:51,720                                              R5 python3 Run.py -start
tests                                              DEBUG    2020-06-17 17:27:51,773                                              R4 python3 Run.py -start
tests                                              DEBUG    2020-06-17 17:27:51,815                                              R2 python3 Run.py -start
tests                                              DEBUG    2020-06-17 17:27:51,821                                              R1 python3 Run.py -start
tests                                              DEBUG    2020-06-17 17:27:51,962                                              R3 python3 Run.py -start
tests                                              DEBUG    2020-06-17 17:27:52,019                                              R6 python3 Run.py -start
tests                                              DEBUG    2020-06-17 17:27:52,021                                              R7 python3 Run.py -start
tests                                              DEBUG    2020-06-17 17:27:52,104                                              R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-17 17:27:52,104                                              R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-17 17:27:52,104                                              R5 python3 Run.py -t R5 172.16.1.100
tests                                              DEBUG    2020-06-17 17:27:52,293                                              R4 python3 Run.py -t R4 172.16.1.100
tests                                              DEBUG    2020-06-17 17:27:52,293                                              R4 python3 Run.py -t R4 172.16.1.100
tests                                              DEBUG    2020-06-17 17:27:52,293                                              R4 python3 Run.py -t R4 172.16.1.100
tests                                              DEBUG    2020-06-17 17:27:52,473                                              R2 python3 Run.py -t R2 172.16.1.100
tests                                              DEBUG    2020-06-17 17:27:52,473                                              R2 python3 Run.py -t R2 172.16.1.100
tests                                              DEBUG    2020-06-17 17:27:52,473                                              R2 python3 Run.py -t R2 172.16.1.100
tests                                              DEBUG    2020-06-17 17:27:52,592                                              R1 python3 Run.py -t R1 172.16.1.100
tests                                              DEBUG    2020-06-17 17:27:52,592                                              R1 python3 Run.py -t R1 172.16.1.100
